"","BsmtFinSF2","LowQualFinSF","EnclosedPorch","ThreeSsnPorch","ScreenPorch","PoolArea","MiscVal","MasVnrArea","SecondFlrSF","WoodDeckSF","OpenPorchSF","LotFrontage","LotArea","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","FirstFlrSF","GrLivArea","GarageYrBlt","GarageArea","YrSold"
"23",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","2nd_bin",75,9742,2002,2002,0,1777,1777,1795,1795,2002,534,2008
"24",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","1st_bin",44,4224,1976,1976,840,200,1040,1060,1060,1976,572,2007
"25",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","2nd_bin","1st_bin",70.0499583680267,8246,1968,2001,188,204,1060,1060,1060,1968,270,2010
"26",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","0","0","1st_bin",110,14230,2007,2007,0,1566,1566,1600,1600,2007,890,2009
"27",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","1st_bin",60,7200,1951,2000,234,180,900,900,900,2005,576,2010
"28",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","1st_bin",98,11478,2007,2008,1218,486,1704,1704,1704,2008,772,2010
"29",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","2nd_bin","2nd_bin",47,16321,1957,1997,1277,207,1484,1600,1600,1957,319,2006
"30",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","0",60,6324,1927,1950,0,520,520,520,520,1920,240,2008
"31",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","1st_bin",50,8500,1920,1950,0,649,649,649,1317,1920,250,2008
"32",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",70.0499583680267,8544,1966,2006,0,1228,1228,1228,1228,1966,271,2008
"33",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",85,11049,2007,2007,0,1234,1234,1234,1234,2007,484,2008
"34",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",70,10552,1959,1959,1018,380,1398,1700,1700,1959,447,2010
"35",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",60,7313,2005,2005,1153,408,1561,1561,1561,2005,556,2007
"36",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","3rd_bin","1st_bin","1st_bin",108,13418,2004,2005,0,1117,1117,1132,2452,2004,691,2006
"37",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","2nd_bin","1st_bin",112,10859,1994,1995,0,1097,1097,1097,1097,1995,672,2009
"38",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","0","0","0",74,8532,1954,1990,1213,84,1297,1297,1297,1954,498,2009
"39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",68,7922,1953,2007,731,326,1057,1057,1057,1953,246,2010
"40",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",65,6040,1955,1955,0,0,0,1152,1152,1978.50616388687,0,2008
"41",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","1st_bin",84,8658,1965,1965,643,445,1088,1324,1324,1965,440,2006
"42",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",115,16905,1959,1959,967,383,1350,1328,1328,1959,308,2007
"43",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","2nd_bin","0",70.0499583680267,9180,1983,1983,747,0,840,884,884,1983,504,2007
"44",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","0",70.0499583680267,9200,1975,1980,280,167,938,938,938,1977,308,2008
"45",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",70,7945,1959,1959,179,465,1150,1150,1150,1959,300,2006
"46",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","0","1st_bin","1st_bin",61,7658,2005,2005,456,1296,1752,1752,1752,2005,576,2010
"47",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"0","2nd_bin","1st_bin","1st_bin",48,12822,2003,2003,1351,83,1434,1518,2149,2003,670,2009
"48",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","2nd_bin",84,11096,2006,2006,24,1632,1656,1656,1656,2006,826,2007
"49",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","0",33,4456,1920,2008,0,736,736,736,1452,1978.50616388687,0,2009
"50",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",66,7742,1966,1966,763,192,955,955,955,1966,386,2007
"51",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","1st_bin",70.0499583680267,13869,1997,1997,182,612,794,794,1470,1997,388,2007
"52",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"0","0","1st_bin","0",52,6240,1934,1950,0,816,816,816,1176,1985,528,2006
"53",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","0",110,8472,1963,1963,104,0,816,816,816,1963,516,2010
"54",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","4th_bin","1st_bin",68,50271,1981,1987,1810,32,1842,1842,1842,1981,894,2006
"55",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",60,7134,1955,1955,384,0,384,1360,1360,1962,572,2007
"56",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1st_bin","0","0","0",100,10175,1964,1964,490,935,1425,1425,1425,1964,576,2008
"57",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","2nd_bin","1st_bin","0",24,2645,1999,2000,649,321,970,983,1739,1999,480,2009
"58",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","1st_bin",89,11645,2004,2004,0,860,860,860,1720,2004,565,2006
"59",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"3rd_bin","3rd_bin","1st_bin","0",66,13682,2006,2006,0,1410,1410,1426,2945,2006,641,2006
"60",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","0",60,7200,1972,1972,632,148,780,780,780,1973,352,2008
"61",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",63,13072,2004,2004,941,217,1158,1158,1158,2006,576,2006
"62",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","0","0",60,7200,1920,1996,0,530,530,581,1111,1935,288,2007
"63",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",44,6442,2006,2006,24,1346,1370,1370,1370,2006,484,2007
"64",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","1st_bin",50,10300,1921,1950,0,576,576,902,1710,1990,480,2010
"65",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","2nd_bin","3rd_bin","1st_bin",70.0499583680267,9375,1997,1998,739,318,1057,1057,2034,1998,645,2009
"66",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","3rd_bin","1st_bin","2nd_bin",76,9591,2004,2005,0,1143,1143,1143,2473,2004,852,2007
"67",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","2nd_bin","0",70.0499583680267,19900,1970,1989,912,1035,1947,2207,2207,1970,576,2010
"68",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",72,10665,2003,2003,1013,440,1453,1479,1479,2003,558,2007
"69",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",47,4608,1945,1950,0,747,747,747,747,1945,220,2010
"70",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","1st_bin",81,15593,1953,1953,603,701,1304,1304,2287,1953,667,2006
"71",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3rd_bin","0","2nd_bin","0",95,13651,1973,1973,1880,343,2223,2223,2223,1973,516,2007
"72",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",69,7599,1982,2006,565,280,845,845,845,1987,360,2007
"73",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1st_bin","2nd_bin","0","1st_bin",74,10141,1998,1998,0,832,832,885,1718,1998,427,2009
"74",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","0",85,10200,1954,2003,320,404,1086,1086,1086,1989,490,2010
"75",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","0",60,5790,1915,1950,0,840,840,840,1605,1915,379,2010
"76",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","1st_bin","1st_bin",21,1596,1973,1973,462,0,462,526,988,1973,297,2009
"77",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",70.0499583680267,8475,1956,1956,228,724,952,952,952,1956,283,2008
"78",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","0","0",50,8635,1948,2001,336,295,672,1072,1285,1948,240,2008
"79",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",72,10778,1968,1968,0,1768,1768,1768,1768,1978.50616388687,0,2010
"80",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","1st_bin","0",60,10440,1910,1981,0,440,440,682,1230,1966,440,2009
"81",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"2nd_bin","2nd_bin","0","1st_bin",100,13000,1968,1968,448,448,896,1182,2142,1968,509,2009
"82",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","0","0","2nd_bin",32,4500,1998,1998,1201,36,1237,1337,1337,1998,405,2006
"83",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","0","1st_bin","1st_bin",78,10206,2007,2007,33,1530,1563,1563,1563,2007,758,2008
"84",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","0",80,8892,1960,1960,0,1065,1065,1065,1065,1974,461,2007
"85",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1st_bin","2nd_bin","1st_bin","1st_bin",70.0499583680267,8530,1995,1996,0,384,384,804,1474,1995,400,2009
"86",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","3rd_bin","1st_bin","1st_bin",121,16059,1991,1992,0,1288,1288,1301,2417,1991,462,2006
"87",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","1st_bin","1st_bin",122,11911,2005,2005,0,684,684,684,1560,2005,400,2009
"88",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","0","2nd_bin",40,3951,2009,2009,0,612,612,612,1224,2009,528,2009
"89",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",105,8470,1915,1982,0,1013,1013,1013,1526,1978.50616388687,0,2009
"90",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",60,8070,1994,1995,588,402,990,990,990,1978.50616388687,0,2007
"91",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",60,7200,1950,1950,0,0,0,1040,1040,1950,420,2006
"92",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","0",85,8500,1961,1961,600,635,1235,1235,1235,1961,480,2006
"93",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",80,13360,1921,2006,713,163,876,964,964,1921,432,2009
"94",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"0","2nd_bin","0","0",60,7200,1910,1998,1046,168,1214,1260,2291,1900,506,2007
"95",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","2nd_bin",69,9337,1997,1997,648,176,824,905,1786,1997,684,2007
"96",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1st_bin","2nd_bin","2nd_bin","1st_bin",70.0499583680267,9765,1993,1993,310,370,680,680,1470,1993,420,2009
"97",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",78,10264,1999,1999,1162,426,1588,1588,1588,1999,472,2006
"98",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","0",73,10921,1965,1965,520,440,960,960,960,1965,432,2007
"99",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"0","0","0","0",85,10625,1920,1950,108,350,458,835,835,1920,366,2010
"100",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"0","0","2nd_bin","0",77,9320,1959,1959,569,381,950,1225,1225,1978.50616388687,0,2010
"101",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",70.0499583680267,10603,1977,2001,1200,410,1610,1610,1610,1977,480,2010
"102",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","1st_bin","1st_bin",77,9206,1985,1985,0,741,741,977,1732,1985,476,2010
"103",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",64,7018,1979,1979,0,0,0,1535,1535,1979,410,2009
"104",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",94,10402,2009,2009,0,1226,1226,1226,1226,2009,740,2010
"105",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"2nd_bin","1st_bin","0","0",70.0499583680267,7758,1931,1950,224,816,1040,1226,1818,1951,240,2007
"106",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","2nd_bin","1st_bin","1st_bin",75,9375,2003,2004,0,1053,1053,1053,1992,2003,648,2008
"107",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"0","0","0","0",60,10800,1885,1995,0,641,641,1047,1047,1954,273,2007
"108",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",50,6000,1948,1950,104,516,789,789,789,1948,250,2008
"109",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","0","0",85,8500,1919,2005,0,793,793,997,1517,1978.50616388687,0,2007
"110",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","0","0","1st_bin",105,11751,1977,1977,705,1139,1844,1844,1844,1977,546,2010
"111",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","1st_bin","0",75,9525,1954,1972,444,550,994,1216,1855,1954,325,2006
"112",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","1st_bin","0",70.0499583680267,7750,2000,2000,250,134,384,774,1430,2000,400,2010
"113",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1st_bin","3rd_bin","1st_bin","2nd_bin",77,9965,2007,2007,984,280,1264,1282,2696,2007,792,2007
"114",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",70.0499583680267,21000,1953,1953,35,905,1809,2259,2259,1953,450,2007
"115",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","2nd_bin","0",61,7259,1945,2002,774,104,1028,1436,2320,1945,180,2007
"116",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3rd_bin","2nd_bin","0","1st_bin",34,3230,1999,1999,419,310,729,729,1458,1999,440,2007
"117",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","1st_bin",70.0499583680267,11616,1962,1962,170,252,1092,1092,1092,1962,288,2009
"118",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","1st_bin",74,8536,2006,2007,0,1125,1125,1125,1125,2007,430,2007
"119",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","3rd_bin","2nd_bin","0",90,12376,1990,1990,1470,203,1673,1699,3222,1990,594,2010
"120",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","1st_bin",65,8461,2005,2006,0,728,728,728,1456,2005,390,2006
"121",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",70.0499583680267,21453,1969,1969,938,0,938,988,988,1969,540,2006
"122",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","0","0",50,6060,1939,1950,0,732,732,772,1123,1979,264,2007
"123",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1st_bin","0","0","0",75,9464,1958,1958,570,510,1080,1080,1080,1958,288,2008
"124",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",55,7892,1993,1993,300,899,1199,1199,1199,1993,530,2008
"125",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","0",48,17043,1979,1998,0,1362,1362,1586,1586,1979,435,2009
"126",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","0",60,6780,1935,1982,490,30,520,520,754,1978.50616388687,0,2006
"127",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","2nd_bin",70.0499583680267,4928,1976,1976,120,958,1078,958,958,1977,440,2007
"128",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",55,4388,1930,1950,116,556,672,840,840,1978.50616388687,0,2007
"129",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","1st_bin","1st_bin",69,7590,1966,1966,512,148,660,660,1348,1966,453,2006
"130",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1st_bin","0","0","1st_bin",69,8973,1958,1991,567,413,1008,1053,1053,1998,750,2006
"131",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","1st_bin","1st_bin",88,14200,1966,1966,445,479,924,1216,2157,1966,487,2006
"132",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","1st_bin","1st_bin",70.0499583680267,12224,2000,2000,695,297,992,1022,2054,2000,390,2009
"133",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",75,7388,1959,2002,405,658,1063,1327,1327,1974,624,2007
"134",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",70.0499583680267,6853,2001,2002,1005,262,1267,1296,1296,2001,471,2009
"135",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",78,10335,1968,1993,570,891,1461,1721,1721,1968,440,2006
"136",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","0",80,10400,1970,1970,0,1304,1304,1682,1682,1970,530,2008
"137",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","1st_bin",70.0499583680267,10355,1967,1967,695,519,1214,1214,1214,1967,318,2007
"138",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","0",82,11070,1988,1989,0,1907,1907,1959,1959,1989,766,2006
"139",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","2nd_bin","1st_bin",73,9066,1999,2000,668,336,1004,1004,1852,1999,660,2008
"140",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","2nd_bin","1st_bin",65,15426,1997,1997,821,107,928,928,1764,1997,470,2009
"141",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",70,10500,1971,1971,432,432,864,864,864,1978.50616388687,0,2010
"142",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","1st_bin",78,11645,2005,2005,1300,434,1734,1734,1734,2005,660,2006
"143",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","0","0",71,8520,1952,1952,507,403,910,910,1385,2000,720,2010
"144",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",78,10335,1999,1999,679,811,1490,1501,1501,1999,577,2009
"145",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","0",70,9100,1963,1963,1332,396,1728,1728,1728,1963,504,2006
"146",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","0","1st_bin",24,2522,2004,2006,0,970,970,970,1709,2004,380,2006
"147",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","0",51,6120,1931,1993,209,506,715,875,875,1931,180,2009
"148",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","3rd_bin","1st_bin","1st_bin",70.0499583680267,9505,2001,2001,0,884,884,884,2035,2001,434,2010
"149",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","0",63,7500,2004,2005,680,400,1080,1080,1080,1978.50616388687,0,2008
"150",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","1st_bin","1st_bin","1st_bin",70.0499583680267,6240,1936,1950,0,896,896,896,1344,1936,240,2006
"151",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",120,10356,1975,1975,716,253,969,969,969,1975,440,2007
"152",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2nd_bin","0","0","1st_bin",107,13891,2007,2008,1400,310,1710,1710,1710,2007,866,2008
"153",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","0","1st_bin",70.0499583680267,14803,1971,1971,416,409,825,1097,1993,1971,495,2006
"154",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","2nd_bin","0",70.0499583680267,13500,1960,1975,429,93,1602,1252,1252,1960,564,2008
"155",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",84,11340,1923,1950,0,1200,1200,1200,1200,1923,312,2006
